Region,Function_Name,Control,Status,Finding,Severity,Details
"us-east-1","RedshiftEventSubscription","12.5","FAIL","IAM role shared with other Lambda functions","HIGH","Role 'RedshiftRole' shared by 2 functions: RedshiftEventSubscription RedshiftOverwatch "
"us-east-1","RoleCreationFunction","12.5","PASS","Lambda function has unique IAM role","INFO","Role: c205603a5242404l14348118t1w4711126243-LambdaSLRRole-Uhv75K7vgHwq"
"us-east-1","RedshiftOverwatch","12.5","FAIL","IAM role shared with other Lambda functions","HIGH","Role 'RedshiftRole' shared by 2 functions: RedshiftEventSubscription RedshiftOverwatch "
"us-east-1","MainMonitoringFunction","12.5","FAIL","IAM role shared with other Lambda functions","HIGH","Role 'LabRole' shared by 2 functions: MainMonitoringFunction nt542-group02 "
"us-east-1","nt542-group02","12.5","FAIL","IAM role shared with other Lambda functions","HIGH","Role 'LabRole' shared by 2 functions: MainMonitoringFunction nt542-group02 "
"us-east-1","ModLabRole","12.5","PASS","Lambda function has unique IAM role","INFO","Role: RoleForLambdaModLabRole"
"us-east-1","RedshiftEventSubscription","12.2","FAIL","CloudWatch Lambda Insights not enabled","MEDIUM","Enhanced monitoring disabled - cannot collect system-level metrics"
"us-east-1","RedshiftEventSubscription","12.4","FAIL","No execution role found","HIGH","Cannot verify permissions"
"us-east-1","RedshiftEventSubscription","12.6","PASS","No resource-based policy found","INFO","Function not publicly accessible"
"us-east-1","RedshiftEventSubscription","12.7","FAIL","No execution role configured","CRITICAL","Function cannot execute without a valid execution role"
"us-east-1","RedshiftEventSubscription","12.8","FAIL","Code signing not enabled","HIGH","Function can deploy unverified code - enable code signing for security"
"us-east-1","RedshiftEventSubscription","12.9","FAIL","No execution role found","HIGH","Cannot verify permissions"
"us-east-1","RoleCreationFunction","12.2","FAIL","CloudWatch Lambda Insights not enabled","MEDIUM","Enhanced monitoring disabled - cannot collect system-level metrics"
"us-east-1","RoleCreationFunction","12.4","FAIL","No execution role found","HIGH","Cannot verify permissions"
"us-east-1","RoleCreationFunction","12.6","PASS","No resource-based policy found","INFO","Function not publicly accessible"
"us-east-1","RoleCreationFunction","12.7","FAIL","No execution role configured","CRITICAL","Function cannot execute without a valid execution role"
"us-east-1","RoleCreationFunction","12.8","FAIL","Code signing not enabled","HIGH","Function can deploy unverified code - enable code signing for security"
"us-east-1","RoleCreationFunction","12.9","FAIL","No execution role found","HIGH","Cannot verify permissions"
"us-east-1","RedshiftOverwatch","12.2","FAIL","CloudWatch Lambda Insights not enabled","MEDIUM","Enhanced monitoring disabled - cannot collect system-level metrics"
"us-east-1","RedshiftOverwatch","12.4","FAIL","No execution role found","HIGH","Cannot verify permissions"
"us-east-1","RedshiftOverwatch","12.6","PASS","No resource-based policy found","INFO","Function not publicly accessible"
"us-east-1","RedshiftOverwatch","12.7","FAIL","No execution role configured","CRITICAL","Function cannot execute without a valid execution role"
"us-east-1","RedshiftOverwatch","12.8","FAIL","Code signing not enabled","HIGH","Function can deploy unverified code - enable code signing for security"
"us-east-1","RedshiftOverwatch","12.9","FAIL","No execution role found","HIGH","Cannot verify permissions"
"us-east-1","MainMonitoringFunction","12.2","FAIL","CloudWatch Lambda Insights not enabled","MEDIUM","Enhanced monitoring disabled - cannot collect system-level metrics"
"us-east-1","MainMonitoringFunction","12.4","FAIL","No execution role found","HIGH","Cannot verify permissions"
"us-east-1","MainMonitoringFunction","12.6","PASS","No resource-based policy found","INFO","Function not publicly accessible"
"us-east-1","MainMonitoringFunction","12.7","FAIL","No execution role configured","CRITICAL","Function cannot execute without a valid execution role"
"us-east-1","MainMonitoringFunction","12.8","FAIL","Code signing not enabled","HIGH","Function can deploy unverified code - enable code signing for security"
"us-east-1","MainMonitoringFunction","12.9","FAIL","No execution role found","HIGH","Cannot verify permissions"
"us-east-1","nt542-group02","12.2","FAIL","CloudWatch Lambda Insights not enabled","MEDIUM","Enhanced monitoring disabled - cannot collect system-level metrics"
"us-east-1","nt542-group02","12.4","MANUAL","Review required for least privilege","INFO","Role: LabRole - Manual review needed for granular permissions"
"us-east-1","nt542-group02","12.6","PASS","Function not publicly accessible","INFO","Resource-based policy restricts access"
"us-east-1","nt542-group02","12.7","PASS","Execution role is active","INFO","Role: LabRole"
"us-east-1","nt542-group02","12.8","FAIL","Code signing not enabled","HIGH","Function can deploy unverified code - enable code signing for security"
"us-east-1","nt542-group02","12.9","PASS","No administrative privileges detected","INFO","Role: LabRole"
"us-east-1","ModLabRole","12.2","FAIL","CloudWatch Lambda Insights not enabled","MEDIUM","Enhanced monitoring disabled - cannot collect system-level metrics"
"us-east-1","ModLabRole","12.4","FAIL","No execution role found","HIGH","Cannot verify permissions"
"us-east-1","ModLabRole","12.6","PASS","No resource-based policy found","INFO","Function not publicly accessible"
"us-east-1","ModLabRole","12.7","FAIL","No execution role configured","CRITICAL","Function cannot execute without a valid execution role"
"us-east-1","ModLabRole","12.8","FAIL","Code signing not enabled","HIGH","Function can deploy unverified code - enable code signing for security"
"us-east-1","ModLabRole","12.9","FAIL","No execution role found","HIGH","Cannot verify permissions"
